thread,ops,ds,test
1,125882,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g50p0i25rm25:range=1000000:prefill=500000
4,502367,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g50p0i25rm25:range=1000000:prefill=500000
8,988562,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g50p0i25rm25:range=1000000:prefill=500000
12,1442575,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g50p0i25rm25:range=1000000:prefill=500000
16,1788611,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g50p0i25rm25:range=1000000:prefill=500000
20,2131087,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g50p0i25rm25:range=1000000:prefill=500000
24,2379054,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g50p0i25rm25:range=1000000:prefill=500000
32,2872031,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g50p0i25rm25:range=1000000:prefill=500000
36,3110106,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g50p0i25rm25:range=1000000:prefill=500000
40,3296663,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g50p0i25rm25:range=1000000:prefill=500000
48,3748596,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g50p0i25rm25:range=1000000:prefill=500000
62,4715258,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g50p0i25rm25:range=1000000:prefill=500000
72,5335064,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g50p0i25rm25:range=1000000:prefill=500000
80,5791982,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g50p0i25rm25:range=1000000:prefill=500000
90,5592818,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g50p0i25rm25:range=1000000:prefill=500000
1,125570,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g50p0i25rm25:range=1000000:prefill=500000
4,501097,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g50p0i25rm25:range=1000000:prefill=500000
8,989587,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g50p0i25rm25:range=1000000:prefill=500000
12,1446726,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g50p0i25rm25:range=1000000:prefill=500000
16,1790040,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g50p0i25rm25:range=1000000:prefill=500000
20,2137754,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g50p0i25rm25:range=1000000:prefill=500000
24,2383676,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g50p0i25rm25:range=1000000:prefill=500000
32,2860181,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g50p0i25rm25:range=1000000:prefill=500000
36,3089509,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g50p0i25rm25:range=1000000:prefill=500000
40,3303606,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g50p0i25rm25:range=1000000:prefill=500000
48,3743706,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g50p0i25rm25:range=1000000:prefill=500000
62,4752104,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g50p0i25rm25:range=1000000:prefill=500000
72,5337180,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g50p0i25rm25:range=1000000:prefill=500000
