thread,ops,ds,test
40,4315175,NoPersistFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:None>:txn10:g0p0i50rm50:range=1000000:prefill=500000
40,4990715,NoPersistFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:None>:txn10:g50p0i25rm25:range=1000000:prefill=500000
40,5956738,NoPersistFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:None>:txn10:g90p0i5rm5:range=1000000:prefill=500000
40,2377896,NoPersistMedleyFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:None>:txn10:g0p0i50rm50:range=1000000:prefill=500000
40,2726254,NoPersistMedleyFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:None>:txn10:g50p0i25rm25:range=1000000:prefill=500000
40,3233919,NoPersistMedleyFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:None>:txn10:g90p0i5rm5:range=1000000:prefill=500000
40,1597503,NoPersistMontageFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:None>:txn10:g0p0i50rm50:range=1000000:prefill=500000
40,2386807,NoPersistMontageFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:None>:txn10:g50p0i25rm25:range=1000000:prefill=500000
40,3040917,NoPersistMontageFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:None>:txn10:g90p0i5rm5:range=1000000:prefill=500000
40,1481961,txMontageFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:None>:txn10:g0p0i50rm50:range=1000000:prefill=500000
40,2250490,txMontageFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:None>:txn10:g50p0i25rm25:range=1000000:prefill=500000
40,2993552,txMontageFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:None>:txn10:g90p0i5rm5:range=1000000:prefill=500000
40,1946771,NoPersistMedleyFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
40,2212100,NoPersistMedleyFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g50p0i25rm25:range=1000000:prefill=500000
