thread,ops,ds,test
1,29514,NoPersistMedleyFraserSkipList<uint64_t>,TPCC<NBTC>
4,102710,NoPersistMedleyFraserSkipList<uint64_t>,TPCC<NBTC>
8,183340,NoPersistMedleyFraserSkipList<uint64_t>,TPCC<NBTC>
12,263450,NoPersistMedleyFraserSkipList<uint64_t>,TPCC<NBTC>
16,307027,NoPersistMedleyFraserSkipList<uint64_t>,TPCC<NBTC>
20,373137,NoPersistMedleyFraserSkipList<uint64_t>,TPCC<NBTC>
24,397989,NoPersistMedleyFraserSkipList<uint64_t>,TPCC<NBTC>
32,417976,NoPersistMedleyFraserSkipList<uint64_t>,TPCC<NBTC>
36,437688,NoPersistMedleyFraserSkipList<uint64_t>,TPCC<NBTC>
40,455879,NoPersistMedleyFraserSkipList<uint64_t>,TPCC<NBTC>
48,621983,NoPersistMedleyFraserSkipList<uint64_t>,TPCC<NBTC>
62,786862,NoPersistMedleyFraserSkipList<uint64_t>,TPCC<NBTC>
72,859053,NoPersistMedleyFraserSkipList<uint64_t>,TPCC<NBTC>
80,903262,NoPersistMedleyFraserSkipList<uint64_t>,TPCC<NBTC>
1,11438,txMontageFraserSkipList<uint64_t>,TPCC<NBTC>
4,41107,txMontageFraserSkipList<uint64_t>,TPCC<NBTC>
8,69974,txMontageFraserSkipList<uint64_t>,TPCC<NBTC>
12,93849,txMontageFraserSkipList<uint64_t>,TPCC<NBTC>
16,109027,txMontageFraserSkipList<uint64_t>,TPCC<NBTC>
20,115367,txMontageFraserSkipList<uint64_t>,TPCC<NBTC>
24,126938,txMontageFraserSkipList<uint64_t>,TPCC<NBTC>
32,126646,txMontageFraserSkipList<uint64_t>,TPCC<NBTC>
36,135038,txMontageFraserSkipList<uint64_t>,TPCC<NBTC>
40,138856,txMontageFraserSkipList<uint64_t>,TPCC<NBTC>
48,141722,txMontageFraserSkipList<uint64_t>,TPCC<NBTC>
62,156195,txMontageFraserSkipList<uint64_t>,TPCC<NBTC>
72,158473,txMontageFraserSkipList<uint64_t>,TPCC<NBTC>
80,167115,txMontageFraserSkipList<uint64_t>,TPCC<NBTC>
1,34221,NoPersistOneFileSkipList<uint64_t>,TPCC<OneFile>
4,39340,NoPersistOneFileSkipList<uint64_t>,TPCC<OneFile>
8,40553,NoPersistOneFileSkipList<uint64_t>,TPCC<OneFile>
12,35695,NoPersistOneFileSkipList<uint64_t>,TPCC<OneFile>
16,34163,NoPersistOneFileSkipList<uint64_t>,TPCC<OneFile>
20,30495,NoPersistOneFileSkipList<uint64_t>,TPCC<OneFile>
24,31150,NoPersistOneFileSkipList<uint64_t>,TPCC<OneFile>
32,28290,NoPersistOneFileSkipList<uint64_t>,TPCC<OneFile>
36,24616,NoPersistOneFileSkipList<uint64_t>,TPCC<OneFile>
40,19856,NoPersistOneFileSkipList<uint64_t>,TPCC<OneFile>
48,33877,NoPersistOneFileSkipList<uint64_t>,TPCC<OneFile>
62,29818,NoPersistOneFileSkipList<uint64_t>,TPCC<OneFile>
72,27912,NoPersistOneFileSkipList<uint64_t>,TPCC<OneFile>
80,19416,NoPersistOneFileSkipList<uint64_t>,TPCC<OneFile>
1,7554,NoPersistTDSLSkipList<uint64_t>,TPCC<TDSL>
4,24246,NoPersistTDSLSkipList<uint64_t>,TPCC<TDSL>
8,41500,NoPersistTDSLSkipList<uint64_t>,TPCC<TDSL>
12,54307,NoPersistTDSLSkipList<uint64_t>,TPCC<TDSL>
16,60870,NoPersistTDSLSkipList<uint64_t>,TPCC<TDSL>
20,62899,NoPersistTDSLSkipList<uint64_t>,TPCC<TDSL>
24,62840,NoPersistTDSLSkipList<uint64_t>,TPCC<TDSL>
32,62178,NoPersistTDSLSkipList<uint64_t>,TPCC<TDSL>
36,61016,NoPersistTDSLSkipList<uint64_t>,TPCC<TDSL>
40,60086,NoPersistTDSLSkipList<uint64_t>,TPCC<TDSL>
48,45726,NoPersistTDSLSkipList<uint64_t>,TPCC<TDSL>
62,38979,NoPersistTDSLSkipList<uint64_t>,TPCC<TDSL>
72,38137,NoPersistTDSLSkipList<uint64_t>,TPCC<TDSL>
80,39265,NoPersistTDSLSkipList<uint64_t>,TPCC<TDSL>
1,29139,NoPersistMedleyFraserSkipList<uint64_t>,TPCC<NBTC>
4,100061,NoPersistMedleyFraserSkipList<uint64_t>,TPCC<NBTC>
8,183370,NoPersistMedleyFraserSkipList<uint64_t>,TPCC<NBTC>
12,246519,NoPersistMedleyFraserSkipList<uint64_t>,TPCC<NBTC>
16,301975,NoPersistMedleyFraserSkipList<uint64_t>,TPCC<NBTC>
20,356679,NoPersistMedleyFraserSkipList<uint64_t>,TPCC<NBTC>
24,378026,NoPersistMedleyFraserSkipList<uint64_t>,TPCC<NBTC>
32,417571,NoPersistMedleyFraserSkipList<uint64_t>,TPCC<NBTC>
36,443118,NoPersistMedleyFraserSkipList<uint64_t>,TPCC<NBTC>
40,465829,NoPersistMedleyFraserSkipList<uint64_t>,TPCC<NBTC>
48,612701,NoPersistMedleyFraserSkipList<uint64_t>,TPCC<NBTC>
62,785576,NoPersistMedleyFraserSkipList<uint64_t>,TPCC<NBTC>
72,850490,NoPersistMedleyFraserSkipList<uint64_t>,TPCC<NBTC>
80,906417,NoPersistMedleyFraserSkipList<uint64_t>,TPCC<NBTC>
1,11731,txMontageFraserSkipList<uint64_t>,TPCC<NBTC>
4,40590,txMontageFraserSkipList<uint64_t>,TPCC<NBTC>
8,69816,txMontageFraserSkipList<uint64_t>,TPCC<NBTC>
12,91535,txMontageFraserSkipList<uint64_t>,TPCC<NBTC>
16,106950,txMontageFraserSkipList<uint64_t>,TPCC<NBTC>
20,115632,txMontageFraserSkipList<uint64_t>,TPCC<NBTC>
24,119740,txMontageFraserSkipList<uint64_t>,TPCC<NBTC>
32,126956,txMontageFraserSkipList<uint64_t>,TPCC<NBTC>
36,128967,txMontageFraserSkipList<uint64_t>,TPCC<NBTC>
40,130761,txMontageFraserSkipList<uint64_t>,TPCC<NBTC>
48,139945,txMontageFraserSkipList<uint64_t>,TPCC<NBTC>
62,154571,txMontageFraserSkipList<uint64_t>,TPCC<NBTC>
72,161882,txMontageFraserSkipList<uint64_t>,TPCC<NBTC>
80,162406,txMontageFraserSkipList<uint64_t>,TPCC<NBTC>
1,34268,NoPersistOneFileSkipList<uint64_t>,TPCC<OneFile>
4,38194,NoPersistOneFileSkipList<uint64_t>,TPCC<OneFile>
